Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
1;17500;6;35;Женский;Высшее;Мобильные телефоны;Детей нет;Другие регионы;39000;Другое;Билайн;Клиент банка;Нет дефолта
1;17500;12;20;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;16000;Другое;МТС;Клиент банка;Нет дефолта
1;29500;12;35;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
1;50000;18;20;Мужской;Среднее специальное;Ювелирные украшения;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;31500;18;22;Мужской;Среднее;Бытовая техника;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;37000;15;32;Мужской;Высшее;Мебель;Дети есть;Другие регионы;36000;Другое;МТС;Клиент банка;Дефолт
1;17000;12;25;Мужской;Среднее специальное;Фитнес;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
1;11000;6;47;Женский;Среднее специальное;Ювелирные украшения;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Дефолт
1;19500;24;23;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;28000;Другое;Билайн;Клиент банка;Нет дефолта
1;41000;15;40;Мужской;Высшее;Туризм и отдых;Дети есть;Другие регионы;26000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;11000;6;19;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
1;31000;12;28;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;Мегафон;Клиент банка;Дефолт
1;28000;12;23;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;30000;Другое;Мегафон;Клиент банка;Нет дефолта
1;20500;12;37;Женский;Среднее специальное;Бытовая техника;Дети есть;Москва или МО;21000;Другое;МТС;Клиент банка;Нет дефолта
1;79000;15;23;Мужской;Среднее специальное;Туризм и отдых;Детей нет;Другие регионы;46000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;25000;6;31;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;41000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
1;116000;18;33;Женский;Высшее;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;36000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;18500;6;32;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
1;41000;18;46;Мужской;Среднее специальное;Косметика и косметические услуги;Детей нет;Москва или МО;41000;Другое;Теле2;Клиент банка;Нет дефолта
1;10000;24;23;Мужской;Неоконченное высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Женат/замужем;Мегафон;Не клиент банка;Дефолт
1;8000;3;53;Мужской;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;19000;Другое;Теле2;Клиент банка;Нет дефолта
1;26500;18;24;Мужской;Среднее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
1;36000;10;35;Мужской;Высшее;Мебель;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;29000;18;29;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Дефолт
1;21000;18;34;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;31000;12;25;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;36000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;14500;9;20;Мужской;Неоконченное высшее;Бытовая техника;Детей нет;Другие регионы;16000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;20000;12;29;Женский;Среднее;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;13500;12;64;Мужской;Высшее;Окна, двери;Детей нет;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
1;6500;6;34;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Не клиент банка;Дефолт
1;26000;12;26;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;16000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;8000;6;27;Мужской;Среднее;Мобильные телефоны;Детей нет;Санкт-Петербург или ЛО;21000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;48000;24;54;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;30500;24;27;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
1;31500;6;39;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;42000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;29500;18;21;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;23000;Другое;Мегафон;Не клиент банка;Дефолт
1;53500;18;47;Мужской;Высшее;Медицинские услуги;Детей нет;Москва или МО;21000;Другое;Мегафон;Клиент банка;Нет дефолта
1;37000;10;64;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Москва или МО;51000;Другое;Мегафон;Клиент банка;Нет дефолта
1;43000;15;25;Мужской;Среднее специальное;Туризм и отдых;Детей нет;Другие регионы;29000;Другое;Билайн;Клиент банка;Нет дефолта
1;18000;12;22;Мужской;Среднее;Мобильные телефоны;Дети есть;Другие регионы;19000;Другое;МТС;Клиент банка;Дефолт
1;30000;12;26;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;41000;Другое;Билайн;Не клиент банка;Нет дефолта
1;26500;14;23;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;29000;Другое;Мегафон;Не клиент банка;Дефолт
